brand,model,screen_size,color,harddisk,cpu,ram,os,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,cpu_brand,cpu_type,cpu_speed_ghz,ram_gb,storage_size_gb,storage_type,screen_size_inches,price_per_gb_ram,storage_efficiency,performance_tier
Msi,Vector Gp66 12Ugs-267,15.66 Inches,Core Black,512 Gb,Intel Core i9,32 Gb,Windows 11 Home,Unknown,Dedicated,Unknown,1.8 Ghz,5.0,1599.0,Intel,i9,0.0,32.0,512,Unknown,15.66,48.45454545454545,512.0,High-End
Apple,Macbook Air,13.3 Inches,Silver,256 Gb,Unknown,8 Gb,Mac Os,Backlit Keyboard,Integrated,Unknown,Unknown,4.8,689.99,Other,Other,0.0,8.0,256,Unknown,13.3,76.66555555555556,256.0,Budget
Apple,Macbook Air,15.3 Inches,Midnight,256 Gb,Unknown,8 Gb,Mac Os,Unknown,Integrated,Unknown,Unknown,4.8,1144.48,Other,Other,0.0,8.0,256,Unknown,15.3,127.16444444444444,256.0,Budget
Acer,A315-24P-R7Vh,15.6 Inches,Silver,128 Gb,Ryzen 3,8 Gb,Windows 11 S,Backlit Keyboard,Integrated,Unknown,Unknown,4.5,299.99,Other,Ryzen 3,0.0,8.0,128,Unknown,15.6,33.33222222222222,128.0,Budget
Apple,Macbook Pro,13.3 Inches,Space Gray,256 Gb,Unknown,8 Gb,Mac Os,Backlit Keyboard,Integrated,Unknown,Unknown,4.7,965.08,Other,Other,0.0,8.0,256,Unknown,13.3,107.23111111111112,256.0,Budget
Acer,Cb315-3Ht,15.6 Inches,Silver,64 Gb,Celeron N4020,4 Gb,Chrome Os,Support Stylus,Integrated,Unknown,Unknown,4.4,239.99,Other,Celeron,0.0,4.0,64,Unknown,15.6,47.998000000000005,64.0,Entry-Level
Asus,Rog Strix G16,16 Inches,Eclipse Gray,512 Gb,Core i7,16 Gb,Windows 11 Home,Backlit Keyboard,Dedicated,Unknown,Unknown,4.4,1274.03,Other,i7,0.0,16.0,512,Unknown,16.0,74.94294117647058,512.0,High-End
Acer,A515-56-347N,15.6 Inches,Silver,128 Gb,Core I3 1115G4,8 Gb,Windows 11 S,Amazon Alexa,Integrated,Unknown,Unknown,4.3,299.99,Other,i3,0.0,8.0,128,Unknown,15.6,33.33222222222222,128.0,Budget
Acer,An515-58-57Y8,15.6 Inches,Black,512 Gb,Core i5,16 Gb,Windows 11 Home,Backlit Keyboard,Dedicated,Unknown,Unknown,4.4,814.77,Other,i5,0.0,16.0,512,Unknown,15.6,47.92764705882353,512.0,Mid-Range
Hp,Notebook,14 Inches,Grey,1 Tb,Ryzen 3 3250U,16 Gb,Windows 11,Anti Glare Coating,Integrated,Unknown,Unknown,4.4,379.99,Other,Ryzen 3,0.0,16.0,1,Unknown,14.0,22.35235294117647,1.0,Mid-Range
Rokc,Ideapad 3,15.6 Inches,Gray,1000 Gb,Intel Core i5,20 Gb,Windows 11,Unknown,Integrated,Intel,Unknown,4.2,639.99,Intel,i5,0.0,20.0,1000,Unknown,15.6,30.47571428571429,1000.0,Mid-Range
Acer,Nitro 17,17.3 Inches,Black,1 Tb,AMD Ryzen 7,16 Gb,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,Unknown,Unknown,4.4,1199.99,AMD,Ryzen 7,0.0,16.0,1,Unknown,17.3,70.58764705882353,1.0,High-End
Hp,Hp Laptop,15.6 Inches,Black,1 Tb,Intel Core i3,16 Gb,Windows 11 Home,Anti-Glare,Integrated,Intel Uhd Graphics,Unknown,4.2,473.0,Intel,i3,0.0,16.0,1,Unknown,15.6,27.823529411764707,1.0,Mid-Range
Asus,Fx506Hf-Es51,15.6 Inches,Graphite Black,512 Gb,Core i5,8 Gb,Windows 11 Home,Backlit Keyboard,Dedicated,Unknown,Unknown,4.5,699.99,Other,i5,0.0,8.0,512,Unknown,15.6,77.77666666666667,512.0,Budget
Msi,Thin Gf63 12Ve-066Us,15.6 Inches,Black,512 Gb,Core i7,16 Gb,Windows 11 Home,Anti Glare Coating,Rtx 4050,Unknown,Unknown,4.5,938.0,Other,i7,0.0,16.0,512,Unknown,15.6,55.1764705882353,512.0,High-End
